30-34,63,Herbert,Abrams,,31,MOST,433T-085RC,2225
30-34,64,Dale,Singleton,,30,IMSC,263P-07XWD,1965
35-39,1,Michael,Kiedel,,37,SMM,3832-03R0C,5485
35-39,4,Matt,Miller,,35,OREG,373V-07EEF,4975
35-39,5,Jay,Calvert,,38,NEM,0233-02HYU,4865
35-39,12,Chris,Donnermeyer,,36,OREG,373S-06UPX,4655
35-39,15,Tim,Cutler,,36,DAM,383T-05G0H,4615
35-39,16,Luis,Comulada,,37,GOLD,503J-028F3,4575
35-39,18,Michael,Leake,,35,NEM,023P-07430,4565
35-39,19,Todd,Lantry,,37,OREG,373N-02619,4560
35-39,20,Dave,Jilek,,38,NEM,023C-080B6,4550
35-39,21,Nick,Willis,,35,DAM,383U-062XW,4525
35-39,24,Michael,Waataja,,37,IM,2131-0255N,4445
35-39,27,Doug,Jelen,,39,PSM,363M-02N9A,4320
35-39,28,Rick,Osterberg,,39,NEM,023B-033N8,4300
35-39,29,Timothy,Saunders,,35,IMSC,263R-02UZW,4275
35-39,31,Danat,Benjakul,,37,NEM,023M-0350A,4250
35-39,34,Dave,Titus,,36,NEM,023C-001H4,4200
35-39,36,Scott,Henkel,,38,BUMS,043U-077GP,4195
35-39,40,Brad,Jordan,,38,SCA,333U-07C7D,4120
35-39,41,Todd,Simpson,,35,NEM,0233-0817T,4100
35-39,47,Paul,Widman,,39,SKY,413T-01W2Z,4000
35-39,48,Yong,Yang,,38,HMS,353B-07MKT,3975
35-39,49,Hermes,Reyes Caballero,,37,NCMJ,5036-081VD,3960
35-39,55,Rodrigo,Fernandes,,35,AGUA,063C-082AT,3775
35-39,61,Mario,DeSousa,,37,NEM,023A-07KC3,3575
35-39,63,Neil,Washington,,36,NEM,023C-085MW,3515
35-39,64,Vikram,Mansharamani,,39,NEM,0237-06JGN,3510
35-39,68,Keith,Tamboer,,39,UNAT,0735-07D4N,3425
35-39,70,Sean,Uiterwyk,,38,NEM,0239-06H6D,3335
35-39,72,Oren,Bass,,35,AGUA,063W-07U5X,3225
35-39,75,Joe,Rich,,39,TNYA,063H-07XKK,3125
35-39,76,Guillermo,Nunez,,39,NEM,023D-06RN9,3120
35-39,78,Marlon,Duarte,,37,TSTT,333E-07TRJ,3105
35-39,80,Thomas,Stockl,,38,NEM,0238-075MR,3035
35-39,82,Joseph,Abiog,,39,INDY,163M-07M8T,2975
35-39,84,Fernando,Fontenla,,39,AGUA,063K-07S9V,2925
35-39,85,Michael,Keyser,,39,SRVM,383S-07ZCH,2900
35-39,87,Frank,Garcia,,39,SCA,3331-07WM0,2810
35-39,92,Justin,Prindle,,38,CFSC,2537-084FM,2050
40-44,1,Ethan,Saulnier,,42,NEM,0237-033ZZ,5330
40-44,5,Kirk,Nelson,,42,PSM,363N-02KXZ,5040
40-44,8,Ed,Anthos,,44,NEM,023M-034KY,4850
40-44,10,Albert,Garcia,,42,NEM,0235-0738T,4810
40-44,10,Ernie,Hoftyzer,,43,DAM,383C-03HAR,4810
40-44,12,Mike,Broglio,,41,NEM,023X-035GH,4800
40-44,12,Terry,Frogley,,42,SDSM,443P-02C25,4800
40-44,19,Corey,Dunne,,40,UNAT,213K-080EX,4640
40-44,23,Scott,May,,43,NEM,023F-03AR9,4590
40-44,24,Rick,Woltenberg,,44,RGMS,433F-072EP,4585
40-44,28,Kevin,Joubert,,40,MERR,0931-01VD7,4540
40-44,29,Craig,Hersh,,41,NEM,0236-05SW8,4525
40-44,36,Bradley,Lundblad,,44,MMAC,483R-02FCA,4450
40-44,36,Sergei,Nemirovsky,,40,NEM,0233-06MTR,4450
40-44,40,Omar,Awad,,44,MINN,303N-06GR3,4400
40-44,41,Craig,Crawford,,42,NEM,023Y-03B4F,4370
40-44,42,Dean,Olson,,44,MOST,433M-081R3,4345
40-44,43,Rob,Westergaard,,44,DAM,383Z-03GNF,4340
40-44,46,Eduardo,Cruz,,43,CMS,323X-05XNM,4300
40-44,52,Tom,Schulz,,42,PSM,363J-02KZK,4285
40-44,54,Chris,Burge,,44,NEM,023D-076RZ,4280
40-44,55,Jack,Mackenroth,,43,TNYA,063J-0068N,4250
40-44,56,Andreas,Ladas,,42,NEM,023M-06M66,4240
40-44,57,David,Wilkins,,42,NEM,023M-07EJR,4225
40-44,61,Kaan,Duru,,42,NEM,023W-06GNG,4195
40-44,65,Michael,Jacobson,,44,CMYM,093M-01V74,4155
40-44,69,Rodolfo,Nunez,,42,AGUA,063B-02YYV,4050
40-44,71,Andrew,Willett,,42,TNYA,0638-02Y5F,4030
40-44,72,Scott,Williams,,42,LODI,383Y-07WBE,4025
40-44,73,Shane,Loomis,,40,CVMM,3336-07WBW,4020
40-44,75,Greg,Tull,,44,TAM,3831-072JN,3945
40-44,76,J Scott,Burton,,43,AGUA,063S-04BXK,3925
40-44,77,Doug,Hume,,41,SCA,333C-06KEC,3900
40-44,80,Jay,Colucci,,42,ART,453M-02EJZ,3850
40-44,81,Ioannis,Paschalidis,,44,NEM,023Y-07UCW,3845
40-44,82,Jeff,Holmes,,41,NEM,0230-07NHB,3830
40-44,83,Sisir,Kudva,,44,FREM,383S-03T9G,3800
40-44,83,Tom,Allen,,43,NCMS,1336-073T3,3800
40-44,87,Gen,Watanabe,,44,TNYA,063B-02X96,3790
40-44,90,Mark,Bednorz,,41,OREG,373W-06PF6,3740
40-44,103,Stephen,Foley,,41,NEM,023E-076NX,3550
40-44,108,Ian,Cherkowski,,40,CVMM,333Y-070M1,3495
40-44,113,Ray,Montague,,44,SCA,3336-06N2A,3450
40-44,117,Trent,Hightower,,41,OREG,373T-084ZX,3360
40-44,120,Peter,Cote,,44,NEM,0239-075J6,3325
40-44,124,Alan,Berlin,,44,MOST,4337-085RN,3280
40-44,129,Christian,Coy,,41,SKY,413R-07JNM,3145
40-44,132,Andre,Malz,,41,SRVM,3833-0807G,3080
40-44,133,Michael,McMullen,,44,DAM,3836-081U3,3055
40-44,134,AJ,Springfield,,40,NEM,0234-07HZ2,3000
40-44,138,Tim,Williams,,44,NEM,023W-04756,2915
40-44,139,Erik,Nicholson,,40,IMSC,263P-07XCD,2900
40-44,140,Mark,Janoschak,,44,CFSC,2530-0829S,2820
40-44,141,Ronald,DeMarco,,44,SCA,333R-07N89,2690
45-49,7,Jeffrey,Enright,,46,SMM,383P-0685K,5375
45-49,17,Eric,Marnoch,,46,CVMM,333E-07M01,4850
45-49,19,Mark,Frost,,45,OREG,373X-07KU4,4735
45-49,21,Douglas,Sayles,,45,NEM,023H-063UV,4680
45-49,22,Enrique,Conterno,,46,INDY,1635-07ZB3,4675
45-49,25,Fritz,Bedford,,49,NEM,0231-06131,4650
45-49,27,Mark,Wuttig,,48,CVMM,3337-03CRK,4645
45-49,28,Rick,Stecher,,47,SKY,413D-01WU5,4635
45-49,32,Enrique,Conterno,,46,INDY,1635-07ZB3,4575
45-49,41,Robert,Clayton,,45,SAWS,5937-062GB,4400
45-49,44,Vaughn,Mansmann,,46,MOST,4331-07RZK,4340
45-49,50,Scott,Moffet,,45,CMYM,0939-01V3P,4250
45-49,54,Robert,Carr,,47,NEM,023C-02YER,4210
45-49,57,Cesar,Tomasino,,49,MOST,433A-02P5G,4170
45-49,60,Eric,Schauwecker,,49,CVMM,333U-05V8E,4150
45-49,64,Tracy,Fromm,,46,UNAT,373K-08415,4110
45-49,66,Jimmy,Kantor,,48,NEM,023K-081CG,4090
45-49,69,Robert,Gerber,,45,NEM,023P-05UHP,4050
45-49,72,Karl,Schuler,,46,FCST,253U-01ZMZ,4025
45-49,72,Trent,Theroux,,45,NEM,023K-05J76,4025
45-49,75,Kerry,O'Shea,,46,CVMM,333T-07763,4015
45-49,78,Kim,Bauer,,48,MPM,383V-06DVX,3950
45-49,87,Steven,Olson,,45,OREG,373Y-06ACY,3830
45-49,88,Cliff,Miller,,46,ART,453G-02EEE,3825
45-49,93,Fernando,Mejia,,48,TSTT,333D-085JH,3775
45-49,95,Tim,Mc Lain,,45,SCA,3332-06039,3760
45-49,96,Frankie,Ayres,,49,CVMM,333N-064RU,3750
45-49,98,Gabor,Lengyel,,49,SMM,383V-03RC2,3745
45-49,100,Jeff,Cooperman,,45,TAM,3833-07ZGT,3735
45-49,100,Patrick,McDermot,,47,NEM,0232-07MXT,3735
45-49,104,Raymond,Toy,,46,CMYM,093J-01V4M,3695
45-49,105,Erik,Vink,,48,DAM,3835-03GDK,3675
45-49,110,Steve,McAdams,,48,LOM,3835-073DM,3605
45-49,111,Akiharu,Miyagi,,49,,-,3595
45-49,111,Clint,Bogard,,45,OREG,3731-07KMP,3595
45-49,115,Joe,Gordon,,48,NEM,023R-06WJ6,3575
45-49,117,Talbott,Crowell,,45,NEM,023W-082ZS,3550
45-49,117,Philippe,Homassel,,46,CMYM,0938-04RCP,3550
45-49,121,Ray,Konishi,,46,,-,3540
45-49,125,Augustine,Torres,,46,DAM,3837-07VP7,3445
45-49,127,Joe,Garcia,,45,SCA,333S-06KWE,3415
45-49,130,Andreas,Kaubisch,,48,cibb,063C-06CRB,3355
45-49,132,J Chris,Barber,,48,EDIN,303E-025DC,3300
45-49,132,Sinisa,Novakovic,,45,DAM,3832-03FZK,3300
45-49,136,Richard,Iazzetta,,49,SCA,333X-06GYY,3275
45-49,137,Heiko,Pohl,,47,NEM,023D-085MC,3260
45-49,144,Miyuki,Miyagi,,48,,-,3050
45-49,148,Joe,Griczika,,49,NEM,023D-06BSU,3000
45-49,150,Jack,Defandorf,,48,NEM,023A-034WX,2970
45-49,152,David,Sobel,,47,NEM,0236-085H2,2910
45-49,154,Jim,Ustasiewski,,49,AKMS,5637-07ZKE,2835
45-49,155,David,Kohrell,,47,LMAO,293J-07PH4,2820
45-49,158,Alister,Ramirez-Marquez,,47,AGUA,063H-06KWM,2650
45-49,160,Allan,Crow,,49,DAM,383K-071EP,2500
45-49,161,Jeff,Wilson,,47,NEM,023M-083NN,2490
45-49,162,Ben,Galego,,45,NEM,023C-08294,2460
50-54,2,Patrick,Autissier,,50,NEM,023H-06REW,5190
50-54,12,Daniel,Wirls,,52,CRUZ,3839-03HDR,4780
50-54,14,Clay,Gilbert,,53,SKY,4137-01W8C,4765
50-54,17,Seth,Hoff,,50,IM,213D-003C9,4690
50-54,18,Michael,Johmann,,51,SKY,413H-01WFK,4680
50-54,20,Stuart,Burdette,,50,SCA,3335-06ZCT,4675
50-54,21,Andrew,MacNaughton,,50,CVMM,333X-07M50,4670
50-54,22,Jim,McIntyre,,50,NEM,0230-033CN,4665
50-54,25,Chris,Layton,,54,IM,213X-02VAE,4620
50-54,26,John,McClellan,,51,NEM,0232-07N8N,4610
50-54,27,Marc,Campbell,,50,ARKM,2338-075B8,4600
50-54,31,Mike,Booth,,51,ARKM,233C-01K62,4555
50-54,35,Mark,Doyle,,53,NCMS,1334-023Y2,4475
50-54,35,David,Sebastian,,51,IM,2137-02WHJ,4475
50-54,41,Steve,Schiemann,,50,IMSC,2636-04G1F,4425
50-54,44,Luke,Claus,,54,SCA,333Y-064A3,4385
50-54,44,Stephen,Bianchi,,51,CALM,383D-07F57,4385
50-54,51,Michael,Dignan,,53,NEM,023X-046VW,4350
50-54,58,Chris,Burke,,52,NEM,0230-01SAY,4275
50-54,58,Doug,Williams,,54,MICH,193U-028YA,4275
50-54,66,Ed,O'Malley,,50,CMYM,0931-0632W,4185
50-54,68,Ted,McGahie,,53,NEM,023W-034K5,4175
50-54,68,Terry,Kruse,,53,MICH,193D-0724V,4175
50-54,72,Jonathan,Chatinover,,51,NEM,0238-07MX0,4150
50-54,73,Philip,Cullen,,51,SKY,4136-01WEH,4135
50-54,79,Russell,Forman,,51,NEM,023S-033X3,4065
50-54,82,Curtis,Whittaker,,52,NEM,023U-033J7,4020
50-54,83,Jim,Hanton,,52,NSAC,303E-07FA5,4005
50-54,85,Phil,Brown,,51,NEM,0233-034NG,4000
50-54,85,John,Voorhees,,54,SKY,4138-01W8D,4000
50-54,91,Dan,Honious,,52,UNAT,2233-069FX,3975
50-54,96,Stuart,Jones,,53,NAAC,0934-07CTX,3925
50-54,96,James,Fetter,,51,GOLD,503J-027CH,3925
50-54,99,Michael,Bickel,,52,KMAN,3333-05F08,3915
50-54,99,Mark,Sandt,,53,NEM,023S-072V8,3915
50-54,101,Jeff,Everett,,52,SERC,3830-041S8,3900
50-54,105,Andy,McCutcheon,,51,AGUA,063B-07D4P,3840
50-54,106,Kirk,Frambes,,53,MOST,433C-06P9A,3835
50-54,109,Nelson,Chafetz,,53,TXLA,433P-02P57,3785
50-54,111,Mitch,Roob,,51,INDY,163B-02ANK,3750
50-54,117,Stephen,Smith,,50,NEM,023W-061S0,3680
50-54,119,Dave,Bursin,,52,SCA,333W-07PYU,3670
50-54,124,Paul,Moylan,,50,DAM,383D-04185,3625
50-54,130,Peter,Tsugawa,,54,MEMO,3833-07N2N,3595
50-54,132,Philip,Harasz,,54,SPM,1432-07GD6,3525
50-54,132,Lou,Hill,,54,,-,3525
50-54,134,Carey,Callaghan,,51,NEM,023W-046WE,3515
50-54,135,Simon,Thornton,,53,WAVA,123F-02NFX,3510
50-54,137,Thomas,Jung,,50,ART,453P-02EA5,3500
50-54,144,Bill,Turner,,50,CVMM,3339-06XBY,3425
50-54,148,Ken,Muller,,53,OREG,373J-076BD,3400
50-54,150,Anker,Lerret,,54,NEM,0230-035PX,3375
50-54,150,Andrew,Pierce,,51,NEM,0239-04711,3375
50-54,153,Robert,Inchausti,,50,MEMO,383M-084UG,3355
50-54,158,Tom,Berube,,50,SCA,333E-08578,3310
50-54,164,Steve,Reynolds,,54,DAM,383X-07KEV,3235
50-54,166,Bill,Sive,,51,LBG,333M-06G8H,3150
50-54,168,Steve,Hiller,,53,NEM,023U-07U7W,3100
50-54,174,Paul,Arsenault,,51,NEM,023H-05HAY,3000
50-54,174,Gregory,Molotky,,51,DAM,383A-07SPD,3000
50-54,176,Chuck,Walker,,53,NCMJ,503V-07NN9,2970
50-54,179,Norm,Carbonneau,,51,NEM,023Y-07MNU,2890
50-54,188,Alp,Dedeoglu,,50,NEM,0235-084WE,2585
50-54,190,Paul,Wood,,51,TULS,273X-08363,2450
50-54,193,Roger,Clark,,54,NEM,023N-07KCC,1730
55-59,2,Jim,Sauer,,55,TXLA,4339-06N4M,5205
55-59,3,Jamie,Hemmerle,,57,1776,083P-0227Z,4935
55-59,6,Dick,Worrel,,59,TXLA,433N-02NHM,4830
55-59,9,Ron,Emhoff,,57,TVM,383Y-03F0X,4725
55-59,11,Barney,Heller,,58,1776,083F-0220N,4620
55-59,13,Geoff,Spellberg,,56,TAM,3834-03VD8,4525
55-59,15,Eric,Durban,,57,BWAQ,3636-02KPA,4520
55-59,17,Phil,Sidenberg,,56,SCA,333D-03AYK,4510
55-59,22,Joe,Aumiller,,55,MICH,1939-029JT,4465
55-59,25,Dave,Welch,,56,NEM,023Z-0342K,4420
55-59,27,Tom,Phipps,,59,OREG,3732-075TR,4385
55-59,29,Mark,Wright,,59,MERR,0934-01V96,4380
55-59,31,Bill,Davis,,55,NEM,023J-046V8,4330
55-59,34,John,Kuzmkowski,,59,ALMT,1139-06Y3E,4290
55-59,37,Doug,Uzelac,,55,UNAT,1936-08420,4260
55-59,38,Tom,Schmaltz,,59,GAJA,453H-02DCZ,4255
55-59,41,David,Bright,,59,NEM,023M-033Y9,4200
55-59,51,Ed,Ramsey,,56,OREG,373Z-025V9,4125
55-59,58,Jim,Robinson,,55,NEM,023Z-04786,4085
55-59,61,George,Van Meter,,57,SKY,4136-01W3S,4070
55-59,65,Andy,Mascheroni,,55,TAM,3837-03SM3,4040
55-59,66,Chuck,Burr,,55,RIDG,263W-02G66,4035
55-59,68,Al,Wright,,55,DAM,3834-03HC1,4020
55-59,76,Tripp,Blair,,58,NEM,023D-035WF,3905
55-59,77,Dan,Underbrink,,56,PSM,363T-06G3S,3870
55-59,79,Doug,Fyffe,,56,NEM,0232-07PTM,3850
55-59,82,Steve,Kolis,,57,NEM,023V-01M7A,3805
55-59,84,Douglas,Shemin,,57,NEM,0230-06J6M,3800
55-59,85,Ken,Godin,,59,MICH,193T-080VN,3790
55-59,88,John,Lomasney,,55,BUMS,0437-01XVD,3770
55-59,100,Itzhak,Reichman,,55,MOST,433F-06PJP,3635
55-59,104,Mike,Taber,,55,ADMS,0335-01MDG,3595
55-59,105,Gerry,Hill,,56,OREG,373E-071XV,3580
55-59,107,Sergio,Silva,,57,TAM,3837-03JXM,3570
55-59,107,Craig,Mohler,,58,PSM,3638-082T7,3570
55-59,115,Rick,Sam,,58,NEM,0235-0351D,3500
55-59,115,Mark,Mershon,,57,IM,213F-02X4X,3500
55-59,121,Steven,Allen,,55,NEM,023T-07MPG,3355
55-59,124,Jerry,McHugh,,55,CMS,3230-030BB,3335
55-59,126,Jay,Garrett,,55,NEM,023W-083FS,3310
55-59,127,Steve,Hunt,,55,NEM,023P-035T0,3275
55-59,130,John,Jayne,,57,NEM,023C-085H8,3220
55-59,132,Hugh,Duffy,,57,CMS,323J-031Y1,3200
55-59,137,Corky,Ingraham,,56,MOST,433S-07FMZ,3120
55-59,139,Mark,Lane,,55,OREG,373P-06R2Y,3055
55-59,142,Stephen,Darnell,,58,OREG,373J-025V6,3025
55-59,142,Dan,Geist,,55,NEM,023X-034Z1,3025
55-59,145,Brian,Tomikawa,,59,ROSE,333V-049SE,3005
55-59,146,Kevin,Lane,,56,SCA,333W-03BXD,3000
55-59,146,Frank,Troiano,,58,INDY,163F-02B9U,3000
55-59,146,Roland,Bartl,,56,NEM,023T-046WH,3000
55-59,157,Byron,Philleo,,58,DAM,383E-06NA8,2825
55-59,159,David,Pierce,,59,MOST,433J-085RK,2695
55-59,165,Martin,Watkins,,59,CIBB,063S-06BBM,2500
55-59,165,Donald,Graber,,58,NEM,0230-07GWC,2500
55-59,169,Chao-Chun,Wang,,57,DAM,3834-07F0A,2220
55-59,170,Don,Levy,,57,SCA,333A-076KD,2075
60-64,1,Jim,Mc Conica,,62,VCM,333T-03B07,5120
60-64,2,James,Thornton,,60,1776,0834-01JFR,4840
60-64,3,Hubie,Kerns,,63,VCM,333J-03CVP,4770
60-64,4,John,Maclennan,,61,NEM,023K-078P3,4625
60-64,20,Dan,Beisel,,60,CMYM,093F-01V6Z,4140
60-64,21,Jack,Cothren,,63,BUMS,043M-02ZMJ,4110
60-64,24,Pat,Marzulli,,64,SPM,143F-02RMY,4075
60-64,29,Mark,Woerner,,61,DAM,383R-05GHM,4000
60-64,31,Bill,Ryan,,62,NEM,023K-06JH3,3900
60-64,33,Scot,Kendall,,62,CRUZ,383E-065UR,3885
60-64,37,John,Flannigan,,62,SMM,383X-03JAN,3840
60-64,38,Brett,Stone,,64,DAM,383X-03KFT,3825
60-64,40,Fred,Dalby,,63,NEM,023G-033FF,3795
60-64,44,Lonnie,Valentine,,64,EAM,163A-082BP,3715
60-64,48,Dave,Jones,,60,NEM,0234-074WC,3600
60-64,50,Steve,Bowerman,,61,CVMM,333H-06Z85,3550
60-64,51,Thomas,Mester,,61,SKY,4135-01W36,3540
60-64,53,Henry,Greenberg,,64,NOVA,333D-03A2S,3515
60-64,57,Mark,Payne,,63,MICH,193U-085PC,3450
60-64,57,Michael,Biggs,,64,FMM,143J-02TJE,3450
60-64,57,Mike,Zappas,,61,KMAN,333K-05F0A,3450
60-64,60,Alfredo,Morabia,,60,TNYA,063G-05ZSM,3445
60-64,61,James,Hanken,,60,NEM,023Y-03368,3425
60-64,62,Bob,Levi,,60,SMM,383T-06WNC,3370
60-64,62,Stephan,Russo,,61,TNYA,063R-06ZNW,3370
60-64,65,Masao,Miyasaka,,62,,-,3355
60-64,68,Douglas,Smith,,62,NEM,023G-0472G,3325
60-64,72,Paul,Talewsky,,62,NEM,023N-07K99,3315
60-64,77,Gord,Kissman,,62,,-,3200
60-64,77,Jim,Cunning,,60,INDY,163D-02ASS,3200
60-64,79,John,Pfeifer,,61,AKMS,5632-05XPX,3195
60-64,82,Edward,Mierjeski,,62,OREG,373B-026XD,3140
60-64,84,Jack,Stabach,,64,NEM,023A-01SEU,3110
60-64,86,Marc,Binenfeld,,62,UCLA,3330-03CGN,3050
60-64,89,Ken,Phillips,,63,NEM,023V-0470M,3000
60-64,89,Chris,Reidy,,60,NEM,023B-082HV,3000
60-64,91,Doug,Kopp,,63,SMS,243D-04DWT,2960
60-64,93,Rob,Schiller,,61,NEM,023D-07B8T,2800
60-64,100,Larry,Buthmann,,63,NEM,0231-035ZP,2435
60-64,101,John,Kelly,,63,SCA,333C-06V8Z,2400
65-69,3,Jon,Shastid,,65,SKY,413S-01W30,4455
65-69,4,Hugh,Wilder,,65,SRM,383P-01GWW,4445
65-69,5,Richard,Burns,,69,TAM,383M-03FZ4,4345
65-69,7,Rich,Bernstein,,66,AGUA,063Y-0301W,4300
65-69,15,Bill,Ewan,,69,NEM,023X-01SBS,3990
65-69,17,Jay,Jones,,66,NEM,0233-034YT,3955
65-69,18,Bren,Hirschberg,,67,OREG,3737-06MC1,3920
65-69,21,Donn,Livoni,,66,MM,313V-025UR,3850
65-69,22,Jack,Hall,,65,NEM,023X-065TX,3840
65-69,30,Scott,Woodburn,,69,GOLD,503U-0280D,3625
65-69,31,Richard,Mazey,,65,SPAW,153H-0441A,3600
65-69,34,Bob,Husson,,67,NCMS,1339-023NF,3545
65-69,35,Rick,Meyerhoff,,65,TAM,383S-03N8M,3500
65-69,39,Ron,Donelson,,67,NEM,023J-07B5Z,3425
65-69,39,Phil,Wright,,65,NEM,023D-05R5A,3425
65-69,39,Jeffrey,Ruda,,65,DAM,383K-03GF5,3425
65-69,43,Mario,Gerla,,69,UCLA,333B-03AEH,3400
65-69,44,Pieter,Stroeve,,67,DAM,383T-03HFY,3365
65-69,47,Roland,Crotts,,69,TAM,383A-03GB6,3325
65-69,49,Jon,Richards,,68,OREG,373B-07HYA,3250
65-69,53,John,Foges,,68,OREG,373G-026R3,3200
65-69,56,Jim,Becker,,67,ADMS,033X-01MF6,3185
65-69,63,Brad,Tomlinson,,68,NEM,023Z-033ZG,3045
65-69,65,Al,Hester,,65,MINN,3039-06PK1,2950
65-69,68,John,Philip,,69,NEM,0238-06U2F,2545
65-69,73,John,Hannon,,69,MARY,093J-07ZWY,2240
65-69,74,Noel,Duncan,,65,UNAT,253D-07JS5,2200
65-69,76,Jim,O'Donnell,,68,NEM,023E-0345B,2100
70-74,1,Tom,Landis,,70,OREG,373U-025X1,4325
70-74,2,Erik,Lokensgard,,70,MICH,1937-02959,4070
70-74,4,Ralph,Mohr,,71,OREG,373J-0261C,3950
70-74,5,Tom,Tulenko,,70,1776,0830-0229G,3835
70-74,11,Dave,Casebolt,,71,IM,213C-02UGS,3630
70-74,16,Roland,Crotts,,70,TAM,383A-03GB6,3320
70-74,24,Nicholas,Ribush,,71,NEM,023B-07TUB,3060
70-74,26,Jack,Fife,,72,INDY,163E-02AKK,3000
70-74,26,Dick,Hutchings,,71,NEM,0234-07HTD,3000
70-74,32,Bill,Mellow,,71,OREG,3732-0265Y,2925
70-74,37,Patrick,Cannan,,72,NCMJ,503X-07KE4,2750
70-74,38,Les,Cutler,,70,NEM,0238-046WV,2725
70-74,39,Ervin,Kroeker,,72,TCAM,383M-0418C,2710
70-74,40,Burt,Strom,,70,NEM,023H-0344J,2670
70-74,41,Ben,Wright,,70,TAM,3836-03GW3,2590
75-79,12,Bob,Parker,,75,ARIZ,483Z-07HSJ,2540
75-79,15,Herbert,Stone,,78,LOM,383A-03FN0,2360
75-79,16,Jim,Hopp,,77,ARIZ,483T-06J30,2245
75-79,18,Mark,Braly,,77,DAM,383U-074M1,2225
80-84,4,H. William,Burgess,,83,HIMA,393V-06ZUB,2750
80-84,6,Lou,Brown,,80,FXCM,103M-0369B,2600
80-84,11,Tom,Wilson,,82,NEM,023W-046J5,2150
80-84,14,Keith,Burbridge,,84,FMM,1430-02RNG,1285
85-89,1,Mo,Mathews,,85,HIMA,393Y-0203U,2660
85-89,4,John,Longo,,88,ARIZ,483Z-07JKB,2100
90-94,1,E Ole,Larson,,91,NCMS,133N-023UX,2330
