40-44,113,Macy,Foree,S,41,SKY,4136-084XH,3450
40-44,113,Scott,Seibel,H,40,GSM,073J-07V28,3450
45-49,124,Lalit,Shahani,K,48,MELO,383J-03EWM,3450
50-54,141,Jeffrey,Conway,R,51,TNYA,063H-02YYP,3450
55-59,119,Don,Margolis,P,56,SERC,383W-03S05,3450
30-34,53,Adam,Cole,J,31,NEM,023M-035NZ,3455
45-49,123,Olivier,Sudre,H,49,SCA,333Y-049K4,3455
40-44,111,Michael,Gleeson,W,40,NEM,0231-085N1,3460
40-44,111,David,Shulman,B,41,NEM,023J-0770F,3460
40-44,110,David,Wang,M,41,NCMS,1336-07E8T,3470
50-54,139,Robert,McDaniel,L,50,INDY,163C-02A9T,3475
50-54,139,Carl,Hefflefinger,J,52,NEM,023H-035ZB,3475
55-59,118,Brandon,Forest,F,56,DAM,383F-03GFG,3475
40-44,109,John,Grossfeld,E,42,XCEL,063U-06JJH,3480
55-59,117,Bill,Nelson,L,59,VMST,1239-02JCR,3480
65-69,37,Jerry,Audiat,M,66,FGM,383R-03V0S,3485
70-74,13,John,Bell,L,70,UCLA,333H-02GW1,3485
35-39,65,Bryan,Paolini,P,37,FGM,3839-07ZWA,3490
65-69,36,Kent,Fugazi,R,66,DAM,3830-03HBC,3495
18-24,32,Jonathan,Gay,C,22,NEM,0230-084GD,3500
18-24,32,Josh,Hummel,E,23,NEM,0237-07Y3B,3500
50-54,137,Paul,O'Leary,F,50,NEM,023Y-0829J,3500
60-64,55,Bob,Lantz,H,61,DAM,383H-03U42,3500
60-64,55,Craig,Mather,S,61,OREG,373R-025X4,3500
50-54,135,Eric,Furfine,S,53,NEM,0236-06ZT0,3510
55-59,114,Mark,Losinski,A,56,CVMM,333B-06UTF,3515
60-64,53,Steve,Polley,K,63,SCA,333G-049JK,3515
55-59,113,Pete,Covey,P,58,MOST,433A-0663H,3520
60-64,52,Gregory,Stoner,R,60,DAM,383B-03GX8,3520
75-79,3,Earl,Ellis,N,76,UNAT,363X-01MZR,3520
30-34,51,Sean,McGowan,M,32,AGUA,063Z-01SDD,3525
40-44,107,Jason,Bundy,E,42,DAM,383W-040P2,3525
55-59,112,Joe,Freeman,E,56,CSI,163R-08112,3525
40-44,106,Michael,De Vlieger,T,42,SLAM,223G-07C4K,3535
45-49,121,Donald,Sorterup,B,45,NEM,023U-06ZGF,3540
25-29,40,Thomas,Lowry,J,26,NEM,023E-0820C,3550
35-39,62,William,Yepes,A,38,NEM,023W-05EJZ,3550
40-44,103,Matthew,Burrell,K,40,INDY,163R-06ZNT,3550
40-44,103,Jack,Chen,P,41,DAM,383V-03S39,3550
45-49,117,Marc,Mansour,P,48,NEM,023E-03504,3550
45-49,117,Michael,Cieslewicz,J,47,UNAT,023K-07N7P,3550
55-59,111,Ben,Van Alen,W,57,AKMS,563X-01P9C,3550
65-69,33,James,Spiegel,S,65,PCAT,2636-06JCA,3550
55-59,110,Kevin,Johnson,B,58,UTAH,343K-003YP,3555
55-59,109,Thor,Johnson,S,59,NEM,023H-075WC,3565
45-49,116,William,Haddock,O,46,CVMM,333X-070DD,3570
40-44,100,Jason,Fisk,M,40,DAM,3836-065PA,3575
40-44,100,Mark,Morin,S,44,NEM,0237-083ZK,3575
40-44,100,Charles,Smith,L,41,AGUA,0637-04C5H,3575
50-54,131,Howard,Abramson,D,51,UNAT,023D-076F5,3575
65-69,32,Craig,Shaffer,A,66,ARIZ,483H-064BE,3575
70-74,12,Mel,Goldstein,E,74,INDY,1632-02A8Y,3575
30-34,50,Andrew,Gersh,J,33,CRUZ,383W-05G5J,3580
55-59,105,Curtis,Finley,M,59,DAM,383F-062BC,3580
45-49,114,James,Bandler,D,45,NEM,0238-069TR,3585
45-49,113,Michael,Langley,F,45,CVMM,333Z-05FMJ,3590
18-24,30,Zachary,Chertok,R,24,NEM,023G-076VD,3600
30-34,49,Andrew,Roy,M,30,INDY,1636-04R0E,3600
40-44,98,Jim,Porter,K,43,NEM,023H-07PK2,3600
40-44,98,Dmitry,Zaretsky,V,43,INDY,163D-07KGY,3600
50-54,126,Steven,Rubin,M,50,NEM,023H-083VG,3600
50-54,126,Cliff,Millemann,J,54,DAM,383J-03W4F,3600
50-54,126,Thomas (Tom),Merrell,K,52,INDY,1639-02ANH,3600
50-54,126,Jeffrey,Bush,E,54,1776,083Z-0221G,3600
55-59,103,John,Ogden,H,59,NEM,0232-01M9H,3600
60-64,48,Curtis,Miller,M,63,DAM,3834-03FZN,3600
55-59,102,Douglas,Handler,A,58,MICH,193M-0857J,3605
45-49,109,Glenn,Dixon,S,48,NEM,0231-0356Y,3610
55-59,101,Paul,Edelman,T,56,NEM,023A-034R8,3615
18-24,29,Jason,Serrano,A,22,DAM,383F-07421,3620
30-34,48,Geoffrey,Blake,W,30,RGMS,433T-029U5,3620
40-44,97,Brian,Schenkenfelder,F,41,SKY,413A-0739G,3620
50-54,124,Chris,Georges,R,54,TSTT,333G-049ZZ,3625
60-64,47,Richie,Martin,A,64,NEM,023R-0344C,3625
35-39,60,Bryan,Wiemers,J,37,SKY,413V-0814G,3630
65-69,29,Thomas,Manfredi,G,69,NEM,023D-033DH,3635
70-74,10,Bart,Bleuel,S,71,VCM,3339-03B01,3635
30-34,47,Ziv,Lang,R,30,DAM,383G-03FZT,3640
55-59,99,Eric,Winn,J,58,NEM,0233-033R1,3645
40-44,95,Jerry,Scrogham,G,40,SKY,413A-07BK1,3650
40-44,95,Mitchell,Johnson,T,40,BWAQ,363K-076E4,3650
45-49,108,Scott,Smith,D,49,NEM,023H-046YC,3650
50-54,122,Kenneth,Catellier,P,52,INDY,1635-02B0R,3650
50-54,122,William,Breckwoldt,L,52,NEM,023C-07A7A,3650
55-59,97,Kevin,Brady,T,58,ART,453S-02DB5,3650
55-59,97,Edwin,Willis,A,59,OMAH,2939-01JAZ,3650
70-74,9,Fred,Wakelin,W,70,T2NM,1431-02TV2,3650
55-59,96,Craig,Zais,A,55,DAM,383H-060MZ,3655
50-54,121,David,Traver,P,53,SMM,383P-03J45,3660
65-69,28,Thomas,Allan,M,65,NEM,0239-063E1,3665
50-54,119,William,Schulz,A,54,DAM,3831-03NKF,3670
70-74,8,Frank,Philipps,J,70,OREG,373G-025YB,3670
45-49,105,Mark,Rogers,L,47,GAJA,4538-06PZC,3675
45-49,105,Mark,Rogers,L,47,GAJA,4538-06PZC,3675
